Período;Região;Instituição;Localização Geográfica;Tipo de Especialidade;Doentes Saídos;Dias de Internamento
2017-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;Outras Camas;114;1676
2017-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;Outras Camas;107;1485
2017-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;Outras Camas;253;1580
2017-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;Outras Camas;53;1656
2017-01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;Outras Camas;74;1345
2017-01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;Outras Camas;32;429
2017-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;Outras Camas;101;1274
2017-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;Outras Camas;17;418
2017-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;Outras Camas;197;3308
2017-02;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;Outras Camas;0;411
2017-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;Outras Camas;74;1471
2017-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;Outras Camas;135;2567
2017-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;Outras Camas;51;1041
2017-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;Outras Camas;23;892
2017-02;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;Outras Camas;63;858
2017-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;Outras Camas;25;729
2017-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;Outras Camas;281;1370
2017-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;Outras Camas;211;3673
2017-03;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;Outras Camas;186;4393
