periodo,regiao,instituicao,especialidade,doentes_saidos,dias_internamento,latitude,longitude,demora_media
2015-09,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",Outras Camas,900.0,15158.0,37.0238973,-7.9281554,16.842222222222222
2015-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE",Outras Camas,374.0,4703.0,40.2804158,-7.4922407,12.574866310160427
2015-09,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE",Outras Camas,693.0,3553.0,40.117897,-8.8586755,5.126984126984127
2015-09,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",Outras Camas,624.0,12615.0,38.7422257,-9.2264834,20.216346153846153
2015-09,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",Outras Camas,1345.0,16232.0,38.6658713,-9.1822554,12.068401486988847
2015-09,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE",Outras Camas,912.0,6663.0,41.7056054,-8.8252713,7.305921052631579
2015-10,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",Outras Camas,179.0,2668.0,38.014123,-7.8721227,14.905027932960893
2015-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE",Outras Camas,866.0,10639.0,40.2191523,-8.4098211,12.285219399538105
2015-10,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",Outras Camas,135.0,1826.0,40.5309916,-7.2734793,13.525925925925925
2015-10,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",Outras Camas,1943.0,11008.0,38.6554005,-9.0592392,5.665465774575399
2015-10,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",Outras Camas,713.0,14163.0,38.7422257,-9.2264834,19.863955119214587
2015-10,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",Outras Camas,1473.0,20636.0,41.1094138,-8.5972617,14.009504412763068
2015-10,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE",Outras Camas,775.0,11454.0,41.1785642,-8.6062881,14.779354838709677
2015-11,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE",Outras Camas,2962.0,13979.0,39.7414812,-8.7982706,4.7194463200540175
2015-11,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE",Outras Camas,822.0,4288.0,40.117897,-8.8586755,5.21654501216545
2015-11,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE",Outras Camas,0.0,2499.0,40.2162514,-8.4103814,
2015-11,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",Outras Camas,2165.0,12230.0,38.6554005,-9.0592392,5.648960739030023
2015-11,Região de Saúde LVT,"Hospital de Loures, PPP",Outras Camas,718.0,11032.0,38.821455,-9.176296,15.364902506963789
2015-11,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE",Outras Camas,1604.0,31436.0,41.1831056,-8.6010558,19.59850374064838
2015-11,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE",Outras Camas,138.0,5063.0,41.2494561,-8.264901,36.68840579710145
2015-11,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,312.0,5218.0,41.3031784,-7.7515252,16.724358974358974
2015-11,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",Outras Camas,98.0,1721.0,41.1794456,-8.6745115,17.56122448979592
2015-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",Outras Camas,1061.0,14230.0,40.516364,-8.0827433,13.411875589066918
2015-12,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",Outras Camas,1902.0,42159.0,38.7500861,-9.1616116,22.165615141955836
2015-12,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",Outras Camas,118.0,3087.0,39.2410946,-8.6937515,26.161016949152543
2016-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",Outras Camas,10.0,325.0,38.0162314,-8.6956768,32.5
2016-01,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE",Outras Camas,272.0,1374.0,39.7414812,-8.7982706,5.051470588235294
2016-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",Outras Camas,81.0,1314.0,40.516364,-8.0827433,16.22222222222222
2016-01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",Outras Camas,32.0,318.0,39.8212263,-7.4981271,9.9375
2016-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",Outras Camas,40.0,481.0,39.478072,-8.5404429,12.025
2016-01,Região de Saúde LVT,"Hospital de Cascais, PPP",Outras Camas,47.0,778.0,38.729006,-9.418267,16.5531914893617
2016-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",Outras Camas,17.0,294.0,39.2410946,-8.6937515,17.294117647058822
2016-01,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",Outras Camas,160.0,2709.0,41.1094138,-8.5972617,16.93125
2016-02,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE",Outras Camas,57.0,542.0,39.8212263,-7.4981271,9.508771929824562
2016-02,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",Outras Camas,454.0,2638.0,38.6554005,-9.0592392,5.81057268722467
2016-02,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",Outras Camas,56.0,1041.0,38.977235,-8.984506,18.589285714285715
2016-02,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE",Outras Camas,52.0,378.0,41.3423984,-8.4802503,7.269230769230769
2016-02,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",Outras Camas,42.0,1192.0,40.9293884,-8.5458794,28.38095238095238
2016-02,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,59.0,990.0,41.3031784,-7.7515252,16.779661016949152
2016-02,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",Outras Camas,8.0,326.0,41.8056532,-6.7888197,40.75
